title,author,genre,ageRange,series,number,pov,timePeriod,place,protagonist.name,protagonist.lifeStage,protagonist.gender,protagonist.disability,protagonist.lgbtq,protagonist.ethnicity,protagonist.occupation,pocPresence,lgbtqPresence,type,culture,magic,races,creatures,crime,mood,pairing,subgenre,tropes,loveInterest.name,loveInterest.lifeStage,loveInterest.gender,loveInterest.disability,loveInterest.lgbtq,loveInterest.ethnicity,loveInterest.occupation,spice
Rivers of London,Ben Aaronovitch,FANTASY,ADULT,Rivers of London,1,FIRST,MODERN,CITY,Peter Grant,ADULT,MALE,N,STRAIGHT,MIXED RACE,POLICE,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Moon Over Soho,Ben Aaronovitch,FANTASY,ADULT,Rivers of London,2,FIRST,MODERN,CITY,Peter Grant,ADULT,MALE,N,STRAIGHT,MIXED RACE,POLICE,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Whispers Under Ground,Ben Aaronovitch,FANTASY,ADULT,Rivers of London,3,FIRST,MODERN,CITY,Peter Grant,ADULT,MALE,N,STRAIGHT,MIXED RACE,POLICE,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Broken Homes,Ben Aaronovitch,FANTASY,ADULT,Rivers of London,4,FIRST,MODERN,CITY,Peter Grant,ADULT,MALE,N,STRAIGHT,MIXED RACE,POLICE,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Foxglove Summer,Ben Aaronovitch,FANTASY,ADULT,Rivers of London,5,FIRST,MODERN,CITY,Peter Grant,ADULT,MALE,N,STRAIGHT,MIXED RACE,POLICE,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
The Stardust Thief,Chelsea Abdullah,FANTASY,ADULT,The Sandsea Trilogy,1,THIRD MULTIPLE,MEDIEVAL,MULTIPLE,Loulie Al-Nazari,YOUNG ADULT,FEMALE,N,STRAIGHT,MIDDLE EASTERN,TRADE,Y,N,HIGH,MIDDLE EASTERN,Y,NONE,DJINN; IFRIT,,,,,,,,,,,,,
The Hazel Wood,Melissa Albert,FANTASY,YA,The Hazel Wood,1,FIRST,MODERN,MULTIPLE,Alice,TEEN,FEMALE,N,STRAIGHT,WHITE,STUDENT,Y,Y,LOW,EUROPEAN,N,NONE,NONE,,,,,,,,,,,,,
The Night Country,Melissa Albert,FANTASY,YA,The Hazel Wood,2,MIXED,MODERN,MULTIPLE,Alice,TEEN,FEMALE,N,STRAIGHT,WHITE,HOSPITALITY,Y,Y,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
The Bear and the Nightingale,Katherine Arden,FANTASY,ADULT,The Winternight Trilogy,1,THIRD MULTIPLE,MEDIEVAL,COUNTRY,Vasya,TEEN,FEMALE,N,STRAIGHT,WHITE,CHILD,N,N,LOW,SLAVIC,Y,NONE,DEMON,,,,,,,,,,,,,
The Girl in the Tower,Katherine Arden,FANTASY,ADULT,The Winternight Trilogy,2,THIRD MULTIPLE,MEDIEVAL,MULTIPLE,Vasya,TEEN,FEMALE,N,STRAIGHT,WHITE,CHILD,N,N,LOW,SLAVIC,Y,NONE,DEMON,,,,,,,,,,,,,
